Inventario,Localizzazione,Collocazione,Tipo di documento,Autore,Titolo,Luogo,Editore,Anno,Note,ISBN,CDD,Descrizione CDD,Curatore,Traduttore,Lingua
,Polo Liceale,Armadio 12,volume,Grillo Giuseppe,Vertendi itinera : versioni latine per il triennio,Milano,Principato,1991,Testo scolastico,,870,,,,
,Polo Liceale,armadio 11,volume,Grisham John,L'avvocato di strada,,Mondadori,,Avaiti,88-04-46413-5,,,,,
,Polo Liceale,armadio 10,volume,Grisham John,Il Rapporto Pelican,Milano,Arnoldo Mondadori,1999,G. Bisecco,88-04-47067-4,8,,,,
,Polo Liceale,armadio 10,volume,Grisham John,l'appello,Milano,Arnoldo Mondadori,1995,G. Bisecco,88-04-40722-0,8,,,,
,Polo Liceale,armadio 10,volume,Grisham John,l'uomo della Pioggia,Milano,Arnoldo Mondadori,1997,G. Bisecco,88-04-42301-3,8,,,,
,Polo Liceale,Armadio 7,volume,"Grossi Lina, Rossi Rosa",Testi autori itinerari contesti della letteratura latina : 1b. Dalle origini all'età repubblicana,,paravia,,Testo scolastico,88-395-3601-9,,,,,
,Polo Liceale,Armadio 7,volume,"Grossi Lina, Rossi Rosa",Testi autori itinerari contesti della letteratura latina : 2a. Dall'età augustea al periodo di Traiano,,paravia,,Testo scolastico,88-395-3602-7,,,,,
,Polo Liceale,Armadio 7,volume,"Grossi Lina, Rossi Rosa",Testi autori itinerari contesti della letteratura latina : 2b. Dall'età augustea al periodo di traiano,,,,Testo scolastico,88-395-3602-7,,,,,
,Polo Liceale,Armadio 7,volume,"Grossi Lina, Rossi Rosa",Testi autori itinerari contesti della letteratura latina : 3. Dall'età degli antonini alla tarda antichità,,,,Testo scolastico,88-395-3603-5,,,,,
,Polo Liceale,armadio 9,volume,Grossman David,Che tu sia per me il coltello,,Mondadori,2000,,88-04-47367-3,,,,,
,Polo Liceale,armadio 6,volume,Grossman Vasilij,Vita e destino,,Loescher,1985,,,,,Dellepiane Emilia,,
,Polo Liceale,Armadio 12,volume,"Guarracino V., Sciolla L, Sciolla M.T., Stella F",Litterae : storia e testi della letteratura latina dalle origini al cristianesimo,Milano,Minerva italica,1996,Testo scolastico,88-298-1223-4,,,,,
,Polo Liceale,armadio 8,volume,Guazzoni Foà Virginia,Storia del pensiero occidentale : 1. Dalle origini alla chiusura della Scuola di Atene,Milano,Marzorati,1974,Vol 1,,,,,,
,Polo Liceale,armadio 11,volume,Guedj Denis,Il teorema del pappagallo,Milano,Longanesi,,Avaiti,88-304-1758-0,,,,,
,Polo Liceale,armadio 9,volume,Guedon Jean-Claude,Internet : viaggio nel ciberspazio,,,1996,,88-445-0099-X,[380],,,,
,Polo Liceale,Armadio 4,volume,Guenzi Clarissa,Le radici della memoria : quaderno di lavoro,,Sansoni,1999,Testo scolastico,88-383-8035-X,,,,,
,Polo Liceale,Armadio 4,volume,Guenzi Clarissa,Le radici della memoria : le mappe della storia,,Sansoni,1999,Testo scolastico,88-383-0799-7,,,,,
,Polo Liceale,Armadio 7,volume,Guerra Domenico,Humanae Voces,,A.P.E Mursia,1988,Testo scolastico,,,,,,
,Polo Liceale,armadio 11,volume,Guevara Ernesto “Che”,Latinoamericana : un diario per un viaggio in motocicletta,,feltrinelli,,Avaiti,88-07-81259-2,,,"Cacucci Pino, Corica Gloria",,
,Polo Liceale,Armadio 6,volume,"Guglielmino Salvatore, Grosser Hermann",Il sistema letterario : Ottocento,,Principato,1989,Testo scolastico; Prof. Berretta,88-416-1349-1,,,,,
,Polo Liceale,Armadio 6,volume,"Guglielmino Salvatore, Grosser Hermann",Il sistema letterario : Novecento,,Principato,1989,Testo scolastico; Prof. Berretta,88-416-1350-5,,,,,
,Polo Liceale,armadio 9,volume,Guicciardi Luigi,Filastrocca di sangue pe ril commissario Cataldo,,Piemme,,,88-384-4740-3,,,,,
,Polo Liceale,armadio 9,volume,Guicciardini Francesco,Ricordi,,Garzanti,1975,Pasquini Emilio (introduzione note e commenti),,,,,,
,Polo Liceale,Armadio 7,volume,Guidorizzi Giulio,Il mondo letterario greco : 1. l'età arcaica,,Einaudi,,Testo scolastico,88-286-0481-6,,,,,
,Polo Liceale,Armadio 7,volume,Guidorizzi Giulio,Letteratura greca : 1. L'età arcaita,,Einaudi,,Testo scolastico,978-88-286-0948-3,,,,,
,Polo Liceale,Armadio 7,volume,Guidorizzi Giulio,Letteratura greca : 2. L'età classica,,Einaudi,,Testo scolastico,978-88-286-0949-0,,,,,
,Polo Liceale,armadio 11,volume,Guild Nicholas,Il macedone,,Rizzoli,,Avaiti,88-17-11481-2,,,,,
,Polo Liceale,armadio 9,volume,Guimaraes Rosa Joao,Miguilim,,Feltrinelli,1984,,88-07-05013-7,,,,,
,Polo Liceale,armadio 9,volume,Guiraldes Ricardo,Don Segundo Sombra,,Adelphi,1966,Biblioteca Adelphi 9,,,,,,
,Polo Liceale,Armadio 12,volume,"Gusmini Catia, Monfroni Giovanna, Romussi Roberta","Optime : lingua, testi, lessico e civiltà latina",,Marietti scuola,2005,Testo scolastico,88-393-0113-5,,,,,
,Polo Liceale,armadio 7,volume,Guzzo Giuseppe,Don Lorenzo Milani : un itinerario pedagogico,,Rubbettino,1988,,,,,,,
,Polo Liceale,armadio 5,volume,Guzzo Pier Giovanni,Le città scomparsedella magna Grecia : Dagli insediamenti protostorici alla conquista romana,,Newton Compton,1982,,,,,,,
,Polo Liceale,armadio 10,volume,Habasque Guy,Le cubisme,Ginevra ( Svizera ),Albert Skira S.A.,1959,Serie: Le goût de notre temps,,750,,,,
,Polo Liceale,armadio 7,volume,Haddon Mark,Lo strano caso del cane ucciso a mezzanotte,,Einaudi,,,978-88-17659-4,,,,,
,Polo Liceale,armadio 11,volume,Hamilton Edmond,La spedizione della quinta flotta,,Mondadori,1976,Avaiti,,,,,,
,Polo Liceale,armadio 11,volume,Harrer Heinrich,Sette anni nel Tibet,Milano,A. Mondadori,1997,Avaiti,88-04-42145-2,[830],,,,
,Polo Liceale,armadio 9,volume,Harris Robert,Pompei,,Mondadori,,,978-88-04-54783-9,,,,,
,Polo Liceale,Armadio 6,volume,"Hartley Bernard, Viney Peter",Streamline english : Departures,,Oxford University press,,Testo scolastico,0-19-432221-1,,,,,
,Polo Liceale,Armadio 6,volume,"Hartley Bernard, Viney Peter",Streamline english : Departures : Workbook A,,Oxford University press,,Testo scolastico,0-19-432233-5,,,,,
,Polo Liceale,Armadio 6,volume,"Hartley Bernard, Viney Peter",Streamline english : Departures : Workbook B,,Oxford University press,,Testo scolastico,0-19-432234-3,,,,,
,Polo Liceale,Armadio 6,volume,"Hartley Bernard, Viney Peter",Streamline english : Connections : Workbook A,,Oxford University press,,Testo scolastico,0-19-432235-1,,,,,
,Polo Liceale,armadio 11,volume,Hawking Stephen,L'universo in un guscio di noce,,Mondadori,,Avaiti,88-04-50692-X,,,,,
,Polo Liceale,armadio 8,volume,Hegel,Lezioni sulla filosofia della storia,,Laterza,,,88-420-6724-5,100,,,,
,Polo Liceale,armadio 5,volume,"Held David, McGrew Anthony",Globalismo e antiglobalismo,,Il mulino,,,88-15-08249-2,306.03.00,ISTITUZIONI ECONOMICHE,,,
,Polo Liceale,armadio 11,volume,Hemingway Ernest,Vero all'alba,,Mondadori,,Avaiti,88-04-47949-3,,,,,
,Polo Liceale,armadio 11,volume,Hemingway Ernest,Fiesta,Milano,A. Mondadori,1971,Avaiti,,,,,,
,Polo Liceale,armadio 6,volume,Hemingway Ernest,Per chi suona la campana,MIlano,Mondadori,1974,,,8,,,,
,Polo Liceale,armadio 6,volume,Hemingway Ernest,Verdi colline d'Africa,Milano,Mondadori,1992,,88-04-45572-1,8,,,,
,Polo Liceale,armadio 6,volume,Hemingway Ernest,Fiesta : il sole sorge ancora,Roma,Newton,1989,,,,,,,
,Polo Liceale,armadio 8,volume,Hempel Carl G.,Filosofia delle scienze naturali,Bologna,Il Mulino,1980,,,,,Pasquinelli Alberto,,
,Polo Liceale,armadio 8,volume,Hempel Carl Gustav,Il Circolo di Vienna,,VideoRAI,,Filosofia e attualità - VHS,,,,,,
,Polo Liceale,armadio 11,volume,Henningsen Gustav,l'avvocato delle streghe : stregoneria basca e Inquisizione spagnola,,Garzanti,,Avaiti,88-11-69304-7,,,,,
,Polo Liceale,armadio 10,volume,Hermann Hesse,Romanzi e racconti,Roma,Newton & Compton,1992,Pennarola Rotigliano,,830,,,,
,Polo Liceale,armadio 11,volume,Hesse hermann,"Amicizia. Vaiggio in India, Pellegrinaggio d'autunno : e altri racconti",Milano,Club italiano dei lettori,1980,Avaiti,,,,,,
,Polo Liceale,armadio 8,volume,Hill Winfred F.,L'apprendimento : interpretazioni psicologiche,,La nuova Italia,1970,,,150,,,Borelli Luigi,
,Polo Liceale,Armadio 6,volume,Hird Jon,The Complete english grammar for italian students,,Oxford,2010,Testo scolastico,978-0-19-481006-7,,,,,
,Polo Liceale,armadio 10,volume,Hobbes Thomaas,Leviatano,Roma,Armando,2008 © ,Pennarola Rotigliano,88-7144-695-X,192,,Lunani Eros,,
,Polo Liceale,armadio 5,volume,Hobsbawm Eric J.,Il secolo breve,,BUR,2001,,88-17-25901-2,909.82,STORIA UNIVERSALE,,,
,Polo Liceale,armadio 11,volume,Hoeg Peter,Il senso di Smilla per la neve,,A. Mondadori,,Avaiti,88-04-38438-7,,,,,
,Polo Liceale,armadio 11,volume,"Hofmannsthal Hugo von, Strauss Richard",Epistolario,Milano,Adelphi,1993,Avaiti Dalia,88-459-1001-6,,,Schuh,,
,Polo Liceale,armadio 8,volume,"Hofstadter Douglas R., Dennett Daniel C.",L'io della mente,Milano,Adelphi,1988,Biblioteca scientifica 7,,,,,,
,Polo Liceale,armadio 11,volume,Hooper Chloe,Cronaca nera per bambini,,Garzanti,2004,Avaiti,88-11-66343-1,,,,,
,Polo Liceale,armadio 11,volume,Hope Murry,Il segreto di sirio,Milano,Corbaccio,1997,,88-7972-2250-6,8,,,Pietro Ferrari,
,Polo Liceale,armadio 5,volume,Horst Eberhard,Costantino il Grande,,Rusconi,1987,,88-18-18009-6,93.708.092,SITUAZIONI E CONDIZIONI ECONOMICHE,,,
,Polo Liceale,armadio 11,volume,Hugo Victor,Notre-Dame de Paris,Milano,Gruppo editoriale l'Espresso,2003,"Pr. Berretta
Collana : la biblioteca La repubblica",88-89145-00-5,8,,,,
,Polo Liceale,armadio 8,volume,Hulin Michel,La trasmigrazione delle anime,,VideoRAI,,Filosofia e attualità - VHS,,,,,,
,Polo Liceale,armadio 8,volume,Hume,Ricerca sui principi della morale,,Laterza,,,88-420-5164-0,,,,,
,Polo Liceale,Armadio 6,volume,Iantorno Giuliano,Studio 1 : resource book,,Oxford - La Nuova Italia,,Testo scolastico,0-19-454330-7,,,,,
,Polo Liceale,Armadio 6,volume,Iantorno Giuliano,Studio 1 : teacher's book,,Oxford - La Nuova Italia,,Testo scolastico,0-19-454327-7,,,,,
,Polo Liceale,Armadio 6,volume,Iantorno Giuliano,Studio 2 : resource book,,Oxford - La Nuova Italia,,Testo scolastico,0-19-454336-6,,,,,
,Polo Liceale,armadio 7,volume,Invernizzi Anna,Il calendario,,Quasar,,"Vita e costumi dei romani antichi, 16",88-7097-042-6,,,,,
,Polo Liceale,armadio 10,volume,Irving Washington,Il Mistero di Sleepy Hollow e altri racconti,Roma,Newton & Compton,2008,Pennarola Rotigliano,978-88-541-0965-0,8,,,Vatteroni Chiara,
,Polo Liceale,armadio 11,volume,Isnenghi Mario,Papini,Firenze,La nuova Italia,1976,"Pr Berretta
collana : la nuova italia
",,8,,,,
,Polo Liceale,armadio 4,volume,Istituto nazionale del dramma antico,XLV ciclo di rappresentazioni classiche : Medea di Euripide ; Edipo a Colono di Sofocle,,,2009,,,,,,,
,Polo Liceale,armadio 5,volume,Istituto nazionale di statistica,Le regioni in cifre : edizione 1988,,ISTAT,1988,,,352045,,,,
,Polo Liceale,armadio 5,volume,Istituto nazionale di statistica,Le regioni in cifre : edizione 1991,,ISTAT,1991,,,352045,,,,
,Polo Liceale,armadio 4,volume,Istituto Nazionale di Statistica,Rapporto annuale : la situazione del Paese nel 2001,,ISTA,2002,,,341,,,,
,Polo Liceale,armadio 4,volume,Istituto nazionale per l'educazione cooperativa,Dispense per cooperatori agricoli,,Confcooperative,1990,40 schede,,63.91.00,,,,
,Polo Liceale,armadio 5,volume,Izzo Carlo,Civiltà americana : 2. Impressioni e note,Roma,Edizioni di Storia e letteratura,1967,"Biblioteca di studi americani, 15",,810.09.00,LETTERATURA AMERICANA. STORIA,,,
,Polo Liceale,armadio 10,volume,Jackson Lisa,Sussuri,Roma,Armando Curcio,2008,G. Bisecco,,8,,,,
,Polo Liceale,armadio 7,volume,Jacobi Ruggero,Antonio Pizzuto,,La nuova Italia,1971,"Il Castoro, 58",,,,,,
,Polo Liceale,armadio 4,volume,Jacq Christian,L'Egitto dei grandi faraoni,,Mondadori,1999,,88-04-47184-0,932.01.00,Egitto antico. Origini-322 a. C,,,
,Polo Liceale,armadio 7,volume,Jameson Fredric,Il post moderno o la logica culturale del tardo capitalismo,,Garzanti,1989,,88-11-65230-8,,,,,
,Polo Liceale,armadio 7,volume,Jelloun Tahar ben,Dove lo Stato non c'è : racconti italiani,,Einaudi,,,88-06-12403-X,,,,,
,Polo Liceale,armadio 7,volume,Jelloun Tahar ben,Dove lo Stato non c'è : racconti italiani,,Einaudi,,,88-06-12403-X,,,,,
,Polo Liceale,armadio 7,volume,Jelloun Tahar ben,Dove lo Stato non c'è : racconti italiani,,Einaudi,,,88-06-12403-X,,,,,
,Polo Liceale,armadio 7,volume,Jelloun Tahar ben,Notte fatale,,Einaudi,,,88-06-13168-0,,,,,
,Polo Liceale,armadio 7,volume,Jelloun Tahar Ben,Il razzismo spiegato a mia figlia,,Bompiani,,"Avaiti; Collana ""Passaggi""",,,,,Volterrani Egi,
,Polo Liceale,armadio 11,volume,Jennings Gary,Il viaggiatore,,Rizzoli,,Avaiti,88-17-11341-7,,,,,
,Polo Liceale,armadio 11,volume,Jennings Gary,L'autunno dell'azteco,,Rizzoli,,Avaiti,88-17-67403-6,,,,,
,Polo Liceale,armadio 11,volume,Jennings Gary,L'azteco,,Rizzoli,,Avaiti,88-17-11315-8,,,,,
,Polo Liceale,armadio 11,volume,Jie Zhang,Anni di buio,,Salani,,Avaiti,978-88-8451-758-6,,,,,
,Polo Liceale,armadio 11,volume,Jones Gwyn,I vichinghi,,,,Avaiti,88-7983-825-3,,,,,
,Polo Liceale,armadio 7,volume,Jori Giacomo,Pasolini,,Einaudi,,,88-06-15646-2,,,,,
,Polo Liceale,armadio 4,volume,Josca Giuseppe,L'isola dove cominciò il futuro : da Hiroshima alla caduta del comunismo,,Sperling & Kupfer,,Avaiti,88-200-2037-8,909.82,STORIA UNIVERSALE. 1900-1999,,,
,Polo Liceale,armadio 9,volume,Jovine Francesco,Signora Ava,Torino,Einaudi,1958,,,,,,,
,Polo Liceale,armadio 7,volume,Joyce James,Gente di Dublino,,Mondadori,1971,,,,,Tagliaferri Aldo,Cancogli Franca,
,Polo Liceale,armadio 6,volume,Joyce James,Ulisse,Milano,Mondadori,1973,,,8,,,,
,Polo Liceale,armadio 6,volume,Joyce James,Gente di Dublino,,La nuova Italia,,Testo scolastico,88-221-0754-3,,,Tropea Aldo,,
,Polo Liceale,armadio 5,volume,Justi Ferdinando,Storia della Persia antica,,Messaggerie Pontremolesi,,,88-7116-003-7,18889066,,Musitelli Sergio,,
,Polo Liceale,armadio 11,volume,Kafka Franz,La metamorfosi,Milano,Il sole 24 ore,2011,collana : i libri della domenica 5,,8,,,,
,Polo Liceale,armadio 9,volume,Kafka Franz,Il processo,Torino,Frassinelli tipografo editore,1951,,,,,Spaini Alberto,,
,Polo Liceale,armadio 9,volume,Kafka Franz,Racconti,Milano,Feltrinelli,1957,,,,,,Zampa Giorgio,
,Polo Liceale,armadio 9,volume,Kafka Franz,Lettere a Felice : 1912-1917,,Mondadori,1972,I meridiani,,,,,,
,Polo Liceale,armadio 9,volume,Kafka Franz,Tutti i racconti,,Mondadori,,,88-04-45441-5,,,,,
,Polo Liceale,armadio 6,volume,Kafka Franz,"Il processo : confronti con Alberto Moravia, Luigi Pirandello",,Thema,,,88-7159-125-9,,,Di Donna Angela,,
,Polo Liceale,armadio 5,volume,"Kalimtgis, Goldman, Steinberg",Droga S.p.A. : la guerra dell'oppio,,Logos,1980,,,7415951,,"Fiocchi Cristina, Mirak Muriel",,
,Polo Liceale,armadio 8,volume,Kant,Scritti precritici,,Laterza,,,88-420-2107-5,100,,,,
,Polo Liceale,armadio 8,volume,Kant,Critica della ragion pura,,TEA,,,88-7819-768-8,,,Chiodi Pietro,,
,Polo Liceale,armadio 10,volume,Kant Immanuel,Critica della ragion pura,Bari,Gius. Laterza & Figli S.p.a.,1949,,,8,,,"Gentile G., Lombardo-Radice G.",
,Polo Liceale,armadio 10,volume,Kant Immanuel,Critica del giudizio,Bari,Gius. Laterza & Figli,1989,BUL: 58; Pennarola Rotigliano,88-420-2008-7,1,,,Gargiulo Alfredo,
,Polo Liceale,armadio 10,volume,Kant Immanuel,Critica della ragion pratica,Roma-Bari,Gius. Laterza & Figli,1989,BUL: 46; Pennarola Rotigliano,88-420-1993-3,,,,Capra Francesco,
,Polo Liceale,armadio 10,volume,Kant Immanuel,Critica del giudizio : guida alla lettura,Limena,PAGVS,1991,Pennarola Rotigliano,,1,,Donà Massimo,,
,Polo Liceale,armadio 8,volume,Kant Immanuel,Fondazione della metafisica dei costumi,,Laterza,,,88-420-2609-3,,,,,
,Polo Liceale,armadio 8,volume,Kant Immanuel,Per la pace pepetua,,Rizzoli,2003,Ettore Scaini,88-17-10639-9,,,,,
,Polo Liceale,armadio 8,volume,Kant Immanuel,"Scritti di storia, politica e diritto",,Laterza,,,88-420-4759-7,,,,,
,Polo Liceale,armadio 8,volume,Kant Immanuel,Critica della ragion pratica,,TEA,,,88-7819-769-6,,,,,
,Polo Liceale,armadio 8,volume,Kant Immanuel,Critica della ragion pura,,Laterza,,,88-420-1908-9,,,,,
,Polo Liceale,Armadio 7,volume,"Katerinov, Katerinov",La lingua italiana per stranieri,Perugia,Guerra,1985,Testo scolastico,88-7715-009-2,,,,,
,Polo Liceale,armadio 6,volume,Keats John,Poesie,,Newton,1991,Testo inglese a fronte,,,,De Michelis Eurialo,,
,Polo Liceale,armadio 10,volume,Kenyon Sherrilyn,Anche i diavoli piangono,Roma,Fannucci,2008,G. Bisecco,978-88-347-1410-2,8,,,,
,Polo Liceale,armadio 9,volume,Kertesz Imre,Essere senza destino,,Feltrinelli,,,88-07-01561-7,,,,,
,Polo Liceale,armadio 11,volume,Keshavjee Shafique,"Il re, il saggio e il buffone : il gran torneo delle religioni",,Einaudi,,Avaiti,88-06-15044-8,,,,,
,Polo Liceale,armadio 6,volume,Khuri Elias,La porta del sole,,Einaudi,2004,,88-06-16867-3,,,,,
,Polo Liceale,armadio 10,volume,Kierkegaard Soren ,Il concetto dell'angoscia. La malattia mortale,Firenze ,Sansoni,1953,Pennarola Rotigliano,,19,,,,
,Polo Liceale,armadio 10,volume,Kierkegaard Soren ,Aut Aut : estetica ed etica nella personalità,[Verona],Arnoldo Mondadori,1956,Pennarola Rotigliano,,1,,Cantoni Remo,,
,Polo Liceale,armadio 8,volume,Kilito Abdelfattah,L'autore e i suoi doppi : saggio sulla cultura araba classica,,,,,88-06-59934-8,,,,,
,Polo Liceale,armadio 10,volume,Kis Danilo,Clessidra,Milano,Adelphi,1990,Pennarola Rotigliano,88-459-0759-7,8,,,Costantini Lionello ,
,Polo Liceale,armadio 6,volume,Konrad Lorenz ,L'anello di re Salomone,Perugia,Adelphi,1992,,88-221-1063-3,8,,,,
,Polo Liceale,armadio 9,volume,Kruscev Nikita S.,Kruscev ricorda,Milano,Sugar,1970,Nuova biblioteca storica 12,,,,Talbott Strobe,,
,Polo Liceale,armadio 9,volume,Kubin Alfred,L'altra parte,Milano,Adelphi,1965,Biblioteca Adelphi 1,,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,L'identità,,Adelphi,,,88-459-1344-9,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,Lo scherzo,,Adelphi,1986,"Collana “Fabula, 6”",,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,Amori ridicoli,,Adelphi,1988,"Collana “Fabula, 25”",,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,l'immortalità,,Adelphi,,,88-459-0740-6,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,L'insostenibile leggerezza dell'essere,,Adelphi,1985,"Collana “Fabula, 1”",,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,La lentezza,,Adelphi,,,88-459-1120-9,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,Il valzer degli addii,,Adelphi,,,88-459-0683-3,,,,,
,Polo Liceale,armadio 9,volume,Kundera Milan,L'ignoranza,,Adelphi,,,88-459-1632-4,,,,,
,Polo Liceale,armadio 6,volume,"Kuruvilla, Mubiayi, Scego, Wadia",Pecore nere: racconti,Bari,Laterza,2006,,88-420-7797-6,8,,"Capitani Flavia, Coen Emanuele",,
,Polo Liceale,armadio 6,volume,"Kuruvilla, Mubiayi, Scego, Wadia",Pecore nere: racconti,Bari,Laterza,2006,,88-420-7797-6,8,,"Capitani Flavia, Coen Emanuele",,
,Polo Liceale,Armadio 7,volume,La Penna Antonio,Cultura latina 1 : antologia latina per il liceo scientifico,,La nuova italia,,Testo scolastico; Copertina danneggiata,88-221-0546-X,,,,,
,Polo Liceale,armadio 7,volume,"La Valle Raniero, Bimbi Linda",Marianella e i suoi fratelli,,Feltrinelli-Loescher,1985,,,,,"Benvenuto Guido, Pierdonati Sandro",,
,Polo Liceale,armadio 11,volume,Lagorio Gina,La spiaggia del lupo,,Club degli editori,1977,Prof. Berretta,,,,,,
,Polo Liceale,armadio 11,volume,Lagorio Gina,Fuori scena,,Club degli editori,1980,Prof. Berretta,,,,,,
,Polo Liceale,armadio 7,volume,Lagorio Gina,Beppe Fenoglio,,La nuova Italia,1970,"Il Castoro, 37",,,,,,
,Polo Liceale,armadio 8,volume,Laibman David,Marx e Sraffa,,Pratiche editrice,1978,Le forme del discorso 9,,,,,,
,Polo Liceale,armadio 9,volume,Laker Rosalind,Riflessi di seta,,Euroclub [Longanesi],1987,,,,,,,
,Polo Liceale,armadio 6,volume,Lakhous Amara,Scontro di civilta' per un ascensore a  piazza Vittorio,Roma,edizioni e/o,2006,,88-7641-716-8,8,,,,
,Polo Liceale,armadio 8,volume,Lamanna Paolo,Letture filosofiche ad uso dei lincei : volume terzo,Firenze,Le Monnier,1974,,,,,,,
,Polo Liceale,armadio 6,volume,"Lamb Charles, Lamb Mary",Racconti da Shakespeare,,SEI,2000,,88-05-05842-4,,,,,
,Polo Liceale,armadio 6,volume,"Lamb Charles, Lamb Mary",Tales from Shakespeare,,Garzanti,1997,Testo inglese,88-11-05003-0,,,,,
,Polo Liceale,armadio 10,volume,Lami Alessandro,I Presocratici : Testimonianze e frammenti da Talete a Empedocle,Milano,Rizzoli,1991,Pennarola Rotigliano,88-17-16762-2,880,,,,
,Polo Liceale,armadio 10,volume,Lansdale Joe R.,In fondo alla palude,Roma,Fannucci,2005,G. Bisecco,978-88-347-1132-7,8,,,,
,Polo Liceale,armadio 7,volume,Lanuzza Stefano,Storia della lingua italiana,,Newton Compton,1994,Avaiti,88-7983-654-4,,,,,
,Polo Liceale,armadio 11,volume,Larsson Stieg,La ragazza che giocava con il fuoco,,Marsilio,,Avaiti,978-88-317-9498-5,,,,,
,Polo Liceale,armadio 11,volume,Larsson Stieg,Uomini che odiano le donne,,Marsilio,,Avaiti,978-88-317-9332-2,,,,,
,Polo Liceale,armadio 11,volume,Lauria Michele,Telekom Serbia pupi e pupari,Roma,Fazi,2004,Russo Francesca,88-8112-557-9,,,,,
,Polo Liceale,Armadio 4,volume,"Lavore V., Ereddia F.",Mondo antico,,Principato,1984,Testo scolastico,,,,,,
,Polo Liceale,armadio 11,volume,Lawrence,Figli e amanti,,Garzanti,1994,Russo Francesca,88-11-58004-8,,,,,
,Polo Liceale,armadio 5,volume,Lawrence Clifford Hugh,Il monachesimo medievale : forme di vita religiosa in Occidente,,San Paolo,,,88-215-2671-2,,,,,
,Polo Liceale,armadio 6,volume,Lawrence David Herbert,L'amante di Lady Chatterley,,Newton,1994,Biasetto Sabrina,88-7983-583-1,,,,,
,Polo Liceale,armadio 11,volume,Le Carré John,La talpa,Milano,Rizzoli ,1980,,,8,,,Francesco Greenburger,
,Polo Liceale,armadio 11,volume,Le Carré John,L'omorevole scolaro,,Rizzoli,1978,Avaiti,,,,,,
,Polo Liceale,armadio 10,volume,Le Fanu Joseph Sheridan,Carmilla : e altri racconti di fantasmi e vampiri,Roma,Newton & Compton,2008,G. Bisecco,978-88-541-1100-4,8,,Pilo Gianni,,
,Polo Liceale,armadio 6,volume,Leblanc Maurice,Arsène Lupin gentleman-cambrioleur,,ER Easy Readers,1981,Testo francese,87-429-7681-2,,,,,
,Polo Liceale,Armadio 12,volume,Lechi Francesca,Vertendi ratio : versioni latine per il triennio,,Le Monnier,1996,Testo scolastico,88-00-42013-3,,,,,
,Polo Liceale,armadio 7,volume,Ledda Gavino,Padre padrone,,Feltrinelli-Loescher,1978,,,,,Vedovelli Massimo,,
,Polo Liceale,armadio 6,volume,Lee Harper,Il Buio oltre la siepe,Milano,Feltrinelli / Loescher editore,1962,,88-201-1469-0,8,,,,
,Polo Liceale,armadio 10,volume,"Leibniz Gottfried Wilhelm von, Newton Isaac",La disputa Leibniz- Newton sull'analisi,Torino,Boringhieri,1958,Pennarola Rotigliano,,5,,Cantelli Gianfranco,Cantelli Gianfranco,
,Polo Liceale,armadio 11,volume,"Leoni Franco, Presutti Fabio, Bittau Luca",La spiaggia rosa e l'isola di Budelli,,,,Avaiti,88-7538-006-6,910,,,,
,Polo Liceale,armadio 7,volume,Leopardi Giacomo,Zibaldone dei pensieri,,Mondadori,1972,Vol 1-2,,,,Moroni Anna Maria,,
,Polo Liceale,armadio 11,volume,Leopradi Giacomo,Canti,Roma,Le muse,1970,Nonno Eraldo,,,,,,
,Polo Liceale,armadio 7,volume,"Lepschy Anna Laura, Lepschy Giulio","La lingua italiana : storia, varietà dell'uso, grammatica",,Bompiani,,,88-452-0732-3,,,,,
,Polo Liceale,Armadio 7,volume,Leucadi,I colori dell'iride : magazine,,La nuova italia,,Testo scolastico,978-88-221-6230-4,,,,,
,Polo Liceale,Armadio 12,volume,"Leucadi Giancarlo, Longoni Vittoria",Iride : mito ed epica,Scandicci,La nuova Italia,2007,Testo scolastico,978-88-22158-57-4,,,,,
,Polo Liceale,Armadio 12,volume,"Leucadi Giancarlo, Longoni Vittoria",Iride: narrativa,Scandicci,La nuova Italia,2007,Testo scolastico,978-88-22158-59-8,,,,,
,Polo Liceale,Armadio 12,volume,"Leucadi Giancarlo, Longoni Vittoria","Iride: poesia, teatro",Scandicci,La nuova Italia,2007,Testo scolastico,978-88-22158-53-6,,,,,
,Polo Liceale,Armadio 7,volume,"Leucadi, Faenza",I colori dell'iride : quattordici racconti per le vacanze,,,,Testo scolastico,978-88-221-6232-8,,,,,
,Polo Liceale,Armadio 7,volume,"Leucadi, Gasperini",I colori dell'iride : narrativa,,La nuova italia,,Testo scolastico,978-88-221-6227-4,,,,,
,Polo Liceale,Armadio 7,volume,"Leucadi, Gasperini, Pinotti",I colori dell'iride : poesia e teatro,,La nuova italia,,Testo scolastico,978-88-221-6235-9,,,,,
,Polo Liceale,Armadio 7,volume,"Leucadi, Longoni",I colori dell'iride : mito ed epica,,La nuova italia,,Testo scolastico,978-88-221-6236-6,,,,,
